timestamp,page,ram_used_gb,ram_percent,gpu_used_mb,gpu_total_mb,gpu_free_mb
2026-01-26T14:17:29.208066,250,4.14,16.9,149,1244,187
2026-01-26T14:17:31.256539,251,3.99,16.3,149,1244,187
2026-01-26T14:17:33.346104,252,4.00,16.3,149,1244,187
2026-01-26T14:17:35.346104,253,4.13,16.9,149,1244,187
2026-01-26T14:17:37.349276,254,4.00,16.4,149,1244,187
2026-01-26T14:17:39.251692,255,4.01,16.4,149,1244,187
2026-01-26T14:17:47.529081,256,4.58,18.7,149,1244,187
2026-01-26T14:17:48.626534,257,4.55,18.6,149,1244,187
2026-01-26T14:17:49.755280,258,4.50,18.4,149,1244,187
2026-01-26T14:17:50.869503,259,4.45,18.2,149,1244,187
2026-01-26T14:17:51.939935,260,4.42,18.1,149,1244,187
2026-01-26T14:17:53.036402,261,4.22,17.3,149,1244,187
2026-01-26T14:17:54.109697,262,4.18,17.1,149,1244,187
2026-01-26T14:17:55.081377,263,4.14,16.9,149,1244,187
2026-01-26T14:17:57.091572,264,3.99,16.3,149,1244,187
2026-01-26T14:18:05.980634,265,4.35,17.8,149,1244,187
2026-01-26T14:18:07.070548,266,4.32,17.7,149,1244,187
2026-01-26T14:18:08.163649,267,4.28,17.5,149,1244,187
2026-01-26T14:18:09.280846,268,4.24,17.3,149,1244,187
2026-01-26T14:18:10.345705,269,4.20,17.2,149,1244,187
2026-01-26T14:18:11.446975,270,4.15,17.0,149,1244,187
2026-01-26T14:18:12.514746,271,4.12,16.8,149,1244,187
2026-01-26T14:18:13.579092,272,4.07,16.6,149,1244,187
2026-01-26T14:18:14.572552,273,4.03,16.5,149,1244,187
2026-01-26T14:18:16.525326,274,4.16,17.0,149,1244,187
2026-01-26T14:18:18.561457,275,4.01,16.4,149,1244,187
2026-01-26T14:18:20.479307,276,4.03,16.5,149,1244,187
2026-01-26T14:18:22.444905,277,4.18,17.1,149,1244,187
2026-01-26T14:18:24.347555,278,4.05,16.6,149,1244,187
2026-01-26T14:18:26.330338,279,4.05,16.6,149,1244,187
2026-01-26T14:18:28.294285,280,4.18,17.1,149,1244,187
2026-01-26T14:18:33.448404,281,4.09,16.7,149,1244,187
2026-01-26T14:18:34.490475,282,4.05,16.6,149,1244,187
2026-01-26T14:18:36.527037,283,4.04,16.5,149,1244,187
2026-01-26T14:18:42.777865,284,4.21,17.2,149,1244,187
2026-01-26T14:18:43.876936,285,4.17,17.0,149,1244,187
2026-01-26T14:18:45.906497,286,4.08,16.7,149,1244,187
2026-01-26T14:18:47.930825,287,4.07,16.6,149,1244,187
2026-01-26T14:18:54.397785,288,4.35,17.8,149,1244,187
2026-01-26T14:18:55.479013,289,4.31,17.6,149,1244,187
2026-01-26T14:18:56.568717,290,4.27,17.5,149,1244,187
2026-01-26T14:18:57.686264,291,4.23,17.3,149,1244,187
2026-01-26T14:18:58.655935,292,4.19,17.1,149,1244,187
2026-01-26T14:19:03.329366,293,4.11,16.8,149,1244,187
2026-01-26T14:19:04.308714,294,4.08,16.7,149,1244,187
2026-01-26T14:19:10.089017,295,4.23,17.3,149,1244,187
2026-01-26T14:19:11.163105,296,4.19,17.2,149,1244,187
2026-01-26T14:19:12.242067,297,4.16,17.0,149,1244,187
2026-01-26T14:19:13.319502,298,4.12,16.8,149,1244,187
2026-01-26T14:19:14.307776,299,4.08,16.7,149,1244,187
2026-01-26T14:19:18.746068,300,4.30,17.6,149,1244,187
2026-01-26T14:19:19.765768,301,4.26,17.4,149,1244,187
2026-01-26T14:19:24.332335,302,4.17,17.0,149,1244,187
2026-01-26T14:19:25.430903,303,4.13,16.9,149,1244,187
2026-01-26T14:19:30.048876,304,4.18,17.1,149,1244,187
2026-01-26T14:19:31.012972,305,4.14,16.9,149,1244,187
2026-01-26T14:19:36.177598,306,4.33,17.7,149,1244,187
2026-01-26T14:19:37.263063,307,4.28,17.5,149,1244,187
2026-01-26T14:19:38.294796,308,4.24,17.4,149,1244,187
2026-01-26T14:19:43.874886,309,4.25,17.4,149,1244,187
2026-01-26T14:19:44.954694,310,4.21,17.2,149,1244,187
2026-01-26T14:19:46.023016,311,4.27,17.5,149,1244,187
2026-01-26T14:19:47.098927,312,4.23,17.3,149,1244,187
2026-01-26T14:19:51.419613,313,4.27,17.5,149,1244,187
2026-01-26T14:19:52.382363,314,4.23,17.3,149,1244,187
2026-01-26T14:19:59.378779,315,4.68,19.1,149,1244,187
2026-01-26T14:20:00.468052,316,4.64,19.0,149,1244,187
2026-01-26T14:20:01.575944,317,4.60,18.8,149,1244,187
2026-01-26T14:20:02.681126,318,4.39,18.0,149,1244,187
2026-01-26T14:20:03.779874,319,4.35,17.8,149,1244,187
2026-01-26T14:20:04.906302,320,4.31,17.6,149,1244,187
2026-01-26T14:20:06.015407,321,4.27,17.5,149,1244,187
2026-01-26T14:20:06.993029,322,4.23,17.3,149,1244,187
2026-01-26T14:20:12.925167,323,4.24,17.3,149,1244,187
2026-01-26T14:20:14.034183,324,4.20,17.2,149,1244,187
2026-01-26T14:20:15.125737,325,4.15,17.0,149,1244,187
2026-01-26T14:20:16.223139,326,4.12,16.8,149,1244,187
2026-01-26T14:20:17.291643,327,4.08,16.7,149,1244,187
2026-01-26T14:20:22.910207,328,4.22,17.2,149,1244,187
2026-01-26T14:20:24.086619,329,4.18,17.1,149,1244,187
2026-01-26T14:20:25.222933,330,4.13,16.9,149,1244,187
2026-01-26T14:20:26.276147,331,4.09,16.7,149,1244,187
2026-01-26T14:20:31.030127,332,4.31,17.6,149,1244,187
2026-01-26T14:20:32.139152,333,4.27,17.5,149,1244,187
2026-01-26T14:20:33.200602,334,4.23,17.3,149,1244,187
2026-01-26T14:20:37.583306,335,4.17,17.0,149,1244,187
2026-01-26T14:20:38.573001,336,4.12,16.8,149,1244,187
2026-01-26T14:20:46.405714,337,4.55,18.6,149,1244,187
2026-01-26T14:20:47.521366,338,4.52,18.5,149,1244,187
2026-01-26T14:20:48.606182,339,4.48,18.3,149,1244,187
2026-01-26T14:20:49.708794,340,4.44,18.1,149,1244,187
